problem,has_bounds,route_key,constraint_tag,objective_tag,init_source,n_runs,success_rate,success_any,best_nfev,best_time,best_f_final,total_time_sec,total_nfev,llm_total_time_sec,llm_total_nfev,best_time_cost_capped,best_nfev_cost_capped,fallback_rate
ALLINITU,False,USmoothNLP,U,SmoothNLP,llm_raw,5,1.0,True,19.0,0.0007867900021665264,5.744384910321468,,,0.004178851002507145,99.0,0.0007867900021665264,19.0,0.0
ALLINITU,False,USmoothNLP,U,SmoothNLP,random_post,10,1.0,True,165.0,0.0017661970014160033,9.357867161504009e+78,0.05287213300471194,2552.0,,,0.0017661970014160033,165.0,0.0
ALLINITU,False,USmoothNLP,U,SmoothNLP,random_raw,10,1.0,True,165.0,0.002458808001392754,9.357867161504009e+78,0.06782387099519838,2552.0,,,0.002458808001392754,165.0,0.0
ALSOTAME,True,NLC:SmoothNLP,NLC,SmoothNLP,cutest,1,1.0,True,14.0,0.02255868399879546,0.006827771973255468,,,,,0.02255868399879546,14.0,0.0
ALSOTAME,True,NLC:SmoothNLP,NLC,SmoothNLP,llm_post,5,1.0,True,12.0,0.01585319099831395,0.006835405387604529,,,0.10306076400229358,81.0,0.01585319099831395,12.0,0.0
ALSOTAME,True,NLC:SmoothNLP,NLC,SmoothNLP,llm_raw,5,1.0,True,12.0,0.014327774002595106,0.006827771973255468,,,0.08900124499996309,77.0,0.014327774002595106,12.0,0.0
ALSOTAME,True,NLC:SmoothNLP,NLC,SmoothNLP,random_post,10,1.0,True,11.0,0.014166365999699337,0.006828765354393154,0.18934017200444941,130.0,,,0.014166365999699337,11.0,0.0
ALSOTAME,True,NLC:SmoothNLP,NLC,SmoothNLP,random_raw,10,1.0,True,8.0,0.01022246300271945,0.006816740688378259,0.1561026210001728,126.0,,,0.01022246300271945,8.0,0.0
ANTWERP,True,LEB:LS,LEB,LS,cutest,1,0.0,False,,,,,,,,60.0,1000000.0,0.0
ANTWERP,True,LEB:LS,LEB,LS,llm_post,5,0.0,False,,,,,,4.822219068002596,0.0,60.0,1000000.0,0.0
ANTWERP,True,LEB:LS,LEB,LS,llm_raw,5,0.0,False,,,,,,5.099755575993186,0.0,60.0,1000000.0,0.0
ANTWERP,True,LEB:LS,LEB,LS,random_post,10,0.0,False,,,,9.714698162006243,0.0,,,60.0,1000000.0,0.0
ANTWERP,True,LEB:LS,LEB,LS,random_raw,10,0.0,False,,,,9.738964743002725,0.0,,,60.0,1000000.0,0.0
ARGAUSS,False,NLC:SmoothNLP,NLC,SmoothNLP,cutest,1,1.0,True,1.0,0.004400424997584196,0.0,,,,,0.004400424997584196,1.0,0.0
ARGAUSS,False,NLC:SmoothNLP,NLC,SmoothNLP,llm_post,5,1.0,True,1.0,0.001431622000382049,0.0,,,0.012081621993274894,5.0,0.001431622000382049,1.0,0.0
ARGAUSS,False,NLC:SmoothNLP,NLC,SmoothNLP,llm_raw,5,1.0,True,1.0,0.0010269109989167191,0.0,,,0.0053553920006379485,5.0,0.0010269109989167191,1.0,0.0
ARGAUSS,False,NLC:SmoothNLP,NLC,SmoothNLP,random_post,10,1.0,True,1.0,0.0010486920000403188,0.0,0.011900569996214472,10.0,,,0.0010486920000403188,1.0,0.0
ARGAUSS,False,NLC:SmoothNLP,NLC,SmoothNLP,random_raw,10,1.0,True,1.0,0.0011789039999712259,0.0,0.012924556998768821,10.0,,,0.0011789039999712259,1.0,0.0
AVGASA,True,LCBSmoothNLP,LCB,SmoothNLP,cutest,1,1.0,True,15.0,0.025656032001279527,-13.728784627893733,,,,,0.025656032001279527,15.0,0.0
AVGASA,True,LCBSmoothNLP,LCB,SmoothNLP,llm_post,5,1.0,True,14.0,0.018819929999153828,-13.728794646079201,,,0.10279727999295574,76.0,0.018819929999153828,14.0,0.0
AVGASA,True,LCBSmoothNLP,LCB,SmoothNLP,llm_raw,5,1.0,True,13.0,0.018608212998515228,-13.72879693792273,,,0.09752213400133769,71.0,0.018608212998515228,13.0,0.0
AVGASA,True,LCBSmoothNLP,LCB,SmoothNLP,random_post,10,1.0,True,13.0,0.017117719999077963,-13.728783342973106,0.2334786939973128,139.0,,,0.017117719999077963,13.0,0.0
AVGASA,True,LCBSmoothNLP,LCB,SmoothNLP,random_raw,10,1.0,True,13.0,0.017168577000120422,-13.728785140908066,0.1955333280020568,141.0,,,0.017168577000120422,13.0,0.0
AVGASB,True,LCBSmoothNLP,LCB,SmoothNLP,cutest,1,1.0,True,14.0,0.023719954002444865,-12.392826326676047,,,,,0.023719954002444865,14.0,0.0
AVGASB,True,LCBSmoothNLP,LCB,SmoothNLP,llm_post,5,1.0,True,14.0,0.019922813000448514,-12.39282933042325,,,0.10151490499993088,74.0,0.019922813000448514,14.0,0.0
AVGASB,True,LCBSmoothNLP,LCB,SmoothNLP,llm_raw,5,1.0,True,14.0,0.01822670099863899,-12.392828132749097,,,0.10358985700077028,75.0,0.01822670099863899,14.0,0.0
AVGASB,True,LCBSmoothNLP,LCB,SmoothNLP,random_post,10,1.0,True,12.0,0.017282106000493513,-12.392829024194775,0.2233433779911138,139.0,,,0.017282106000493513,12.0,0.0
AVGASB,True,LCBSmoothNLP,LCB,SmoothNLP,random_raw,10,1.0,True,13.0,0.017647077002038714,-12.392831621439266,0.19564280900158337,143.0,,,0.017647077002038714,13.0,0.0
BATCH,True,NLC:SmoothNLP,NLC,SmoothNLP,cutest,1,1.0,True,15.0,0.030466960000921972,45958.30601902725,,,,,0.030466960000921972,15.0,0.0
BATCH,True,NLC:SmoothNLP,NLC,SmoothNLP,llm_post,5,1.0,True,19.0,0.04381988800014369,45958.30602479493,,,0.2582372880024195,95.0,0.04381988800014369,19.0,0.0
BATCH,True,NLC:SmoothNLP,NLC,SmoothNLP,llm_raw,5,1.0,True,14.0,0.02383616500083008,45958.30601253856,,,0.12299139000242576,70.0,0.02383616500083008,14.0,0.0
BATCH,True,NLC:SmoothNLP,NLC,SmoothNLP,random_post,10,1.0,True,20.0,0.04565583799922024,45958.306017630704,0.5534797920008714,218.0,,,0.04565583799922024,20.0,0.0
BATCH,True,NLC:SmoothNLP,NLC,SmoothNLP,random_raw,10,1.0,True,16.0,0.03851172599752317,45958.306002091966,0.5215987370029325,211.0,,,0.03851172599752317,16.0,0.0
BEALE,False,U:LS,U,LS,cutest,1,1.0,True,17.0,0.09045110400256817,1.2104625031692105e-12,,,,,0.09045110400256817,17.0,0.0
BEALE,False,U:LS,U,LS,llm_post,5,1.0,True,17.0,0.0006671289993391838,5.8215478582085976e-15,,,0.003596788996219402,85.0,0.0006671289993391838,17.0,0.0
BEALE,False,U:LS,U,LS,llm_raw,5,1.0,True,17.0,0.000721796001016628,5.8215478582085976e-15,,,0.003978614007792203,85.0,0.000721796001016628,17.0,0.0
BEALE,False,U:LS,U,LS,random_post,10,0.5,True,41.0,0.0005138750020705629,0.45200893030076345,0.04394497399698594,680.0,,,0.0005138750020705629,41.0,0.0
BEALE,False,U:LS,U,LS,random_raw,10,0.5,True,41.0,0.000523213002452394,0.45200893030076345,0.046078103994659614,680.0,,,0.000523213002452394,41.0,0.0
BIGGSC4,True,LCBSmoothNLP,LCB,SmoothNLP,cutest,1,1.0,True,8.0,0.013053136000962695,-49.91933306604067,,,,,0.013053136000962695,8.0,0.0
BIGGSC4,True,LCBSmoothNLP,LCB,SmoothNLP,llm_post,5,1.0,True,5.0,0.006296735999058001,-49.99615917795872,,,0.04097836700020707,33.0,0.006296735999058001,5.0,0.0
BIGGSC4,True,LCBSmoothNLP,LCB,SmoothNLP,llm_raw,5,1.0,True,7.0,0.00793274200259475,-49.993734382488356,,,0.04580603100475855,39.0,0.00793274200259475,7.0,0.0
BIGGSC4,True,LCBSmoothNLP,LCB,SmoothNLP,random_post,10,1.0,True,7.0,0.008154671999363927,-49.997530816000676,0.09941858499587397,80.0,,,0.008154671999363927,7.0,0.0
BIGGSC4,True,LCBSmoothNLP,LCB,SmoothNLP,random_raw,10,1.0,True,8.0,0.009960521001630696,-49.997530816000676,0.14899974200307042,130.0,,,0.009960521001630696,8.0,0.0
BQPGASIM,True,BSmoothNLP,B,SmoothNLP,cutest,1,1.0,True,23.0,0.04136914099944988,-5.519813792084185e-05,,,,,0.04136914099944988,23.0,0.0
BQPGASIM,True,BSmoothNLP,B,SmoothNLP,llm_post,5,1.0,True,23.0,0.0009105450008064508,-5.519814001271057e-05,,,0.006058503000531346,177.0,0.0009105450008064508,23.0,0.0
BQPGASIM,True,BSmoothNLP,B,SmoothNLP,llm_raw,5,1.0,True,23.0,0.000860546002513729,-5.519814001271057e-05,,,0.006146810999780428,177.0,0.000860546002513729,23.0,0.0
BQPGASIM,True,BSmoothNLP,B,SmoothNLP,random_post,10,1.0,True,41.0,0.001374012997985119,-5.519814006784775e-05,0.015381085999251809,442.0,,,0.001374012997985119,41.0,0.0
BQPGASIM,True,BSmoothNLP,B,SmoothNLP,random_raw,10,1.0,True,41.0,0.001350215999991633,-5.519814006784775e-05,0.02807173899782356,442.0,,,0.001350215999991633,41.0,0.0
BROWNBS,False,U:LS,U,LS,cutest,1,1.0,True,18.0,0.01426075299968943,8.190680775910063e-19,,,,,0.01426075299968943,18.0,0.0
BROWNBS,False,U:LS,U,LS,llm_post,5,1.0,True,16.0,0.00040081999759422615,8.190680775910063e-19,,,0.002120826000464149,84.0,0.00040081999759422615,16.0,0.0
BROWNBS,False,U:LS,U,LS,llm_raw,5,1.0,True,16.0,0.0003943880001315847,8.190680775910063e-19,,,0.0021688879969588015,84.0,0.0003943880001315847,16.0,0.0
BROWNBS,False,U:LS,U,LS,random_post,10,1.0,True,10.0,0.00026994800282409415,8.931000286481029e+36,0.003622767992055742,126.0,,,0.00026994800282409415,10.0,0.0
BROWNBS,False,U:LS,U,LS,random_raw,10,1.0,True,10.0,0.00030550899828085676,8.931000286481029e+36,0.004217225003230851,126.0,,,0.00030550899828085676,10.0,0.0
BROWNDEN,False,U:LS,U,LS,cutest,1,1.0,True,30.0,0.11724955899990164,85822.20162468994,,,,,0.11724955899990164,30.0,0.0
BROWNDEN,False,U:LS,U,LS,llm_post,5,1.0,True,27.0,0.0010621969995554537,85822.20162468986,,,0.005748690000473289,148.0,0.0010621969995554537,27.0,0.0
BROWNDEN,False,U:LS,U,LS,llm_raw,5,1.0,True,27.0,0.00102573299955111,85822.20162468986,,,0.00616057699880912,148.0,0.00102573299955111,27.0,0.0
BROWNDEN,False,U:LS,U,LS,random_post,10,1.0,True,177.0,0.0027622519992291927,85822.20162468983,0.06300272199587198,1846.0,,,0.0027622519992291927,177.0,0.0
BROWNDEN,False,U:LS,U,LS,random_raw,10,1.0,True,177.0,0.0032635520001349505,85822.20162468983,0.060509488994284766,1846.0,,,0.0032635520001349505,177.0,0.0
BT11,False,NLC:SmoothNLP,NLC,SmoothNLP,cutest,1,1.0,True,38.0,0.04878408199874684,8.035742661831107e-10,,,,,0.04878408199874684,38.0,0.0
BT11,False,NLC:SmoothNLP,NLC,SmoothNLP,llm_post,5,1.0,True,31.0,0.036479198999586515,4.74811667419364e-10,,,0.2646188530015934,197.0,0.036479198999586515,31.0,0.0
