problem,has_bounds,init_source,n_runs,success_rate,success_any,best_nfev,median_nfev,best_time,median_time,best_f_final,fallback_rate
ALLINIT,TRUE,random_post,10,1,TRUE,27,35.5,0.000577596,0.000730899,2.58E+77,0
ALLINIT,TRUE,random_raw,10,1,TRUE,27,35.5,0.000624314,0.000732903,2.58E+77,0
ALLINITU,FALSE,cutest,1,1,TRUE,19,19,0.051135031,0.051135031,5.74438491,0
ALLINITU,FALSE,llm_post,5,1,TRUE,19,19,0.000771319,0.000828841,5.74438491,0
ALLINITU,FALSE,llm_raw,5,1,TRUE,19,19,0.00078679,0.000817079,5.74438491,0
ALLINITU,FALSE,random_post,10,1,TRUE,165,229.5,0.001766197,0.005447491,9.36E+78,0
ALLINITU,FALSE,random_raw,10,1,TRUE,165,229.5,0.002458808,0.003261102,9.36E+78,0
ALSOTAME,TRUE,cutest,1,1,TRUE,14,14,0.022558684,0.022558684,0.006827772,0
ALSOTAME,TRUE,llm_post,5,1,TRUE,12,19,0.015853191,0.022853275,0.006835405,0
ALSOTAME,TRUE,llm_raw,5,1,TRUE,12,16,0.014327774,0.018037397,0.006827772,0
